Actual CPI value,Predicted CPI value,  Residuals
0.418367347,0.628606717,-0.21023937
0.459183673,0.441243489,0.017940184
0.275510204,0.583451677,-0.307941473
0.112244898,0.487143109,-0.374898211
0.857142857,0.617919538,0.239223319
0.857142857,0.722431594,0.134711263
0.56122449,0.396645779,0.164578711
0.93877551,0.702199944,0.236575566
0.918367347,0.78756802,0.130799327
0.785714286,0.821994243,-0.036279957
0.357142857,0.83055772,-0.473414863
0.897959184,0.67202956,0.225929623
0.857142857,0.794421101,0.062721756
0.744897959,0.646249164,0.098648796
0.795918367,0.58415217,0.211766197
0.897959184,0.662073262,0.235885922
0.5,0.738733005,-0.238733005
0.173469388,0.474490784,-0.301021396
0.530612245,0.459959193,0.070653052
0.867346939,0.658063519,0.20928342
0.265306122,0.643304457,-0.377998334
0.193877551,0.394984205,-0.201106654
0.928571429,0.847339783,0.081231646
0.540816327,0.526417486,0.014398841
0.418367347,0.749105142,-0.330737795
0.448979592,0.621943671,-0.172964079
0.908163265,0.930130255,-0.02196699
0.336734694,0.546845509,-0.210110815
0.908163265,0.505808331,0.402354934
0.785714286,0.709208028,0.076506258
0.948979592,0.933413877,0.015565715
0.408163265,0.56466167,-0.156498405
0.234693878,0.49570649,-0.261012613
0.948979592,0.867168255,0.081811337
0.469387755,0.526066213,-0.056678458
0.62244898,0.671145824,-0.048696844
0.744897959,0.665138696,0.079759264
0.928571429,0.799730201,0.128841228
0.744897959,0.724554048,0.020343912
0.816326531,0.813807417,0.002519114
0.591836735,0.404469933,0.187366802
0.795918367,0.700811909,0.095106459
0.704081633,0.484585013,0.21949662
0.397959184,0.578668229,-0.180709045
0.306122449,0.63489736,-0.328774911
0.489795918,0.360317365,0.129478554
0.816326531,0.856919775,-0.040593244
0.56122449,0.467037141,0.094187348
0.469387755,0.376954845,0.09243291
0.846938776,0.701094449,0.145844326
0.704081633,0.503884539,0.200197094
0.275510204,0.625536518,-0.350026314
0.836734694,0.606692542,0.230042152
0.683673469,0.674055376,0.009618093
0.704081633,0.592575184,0.111506449
0.734693878,0.745955929,-0.011262052
0.765306122,0.708346458,0.056959665
0.857142857,0.628950702,0.228192156
0.612244898,0.428775095,0.183469803
0.336734694,0.773444438,-0.436709744
0.87755102,0.744172547,0.133378474
