Actual CPI value,Predicted CPI value,  Residuals
0.734042553,0.732658134,0.001384419
0.755319149,0.564202487,0.191116661
0.627659574,0.664827556,-0.037167982
0.670212766,0.582186004,0.088026762
0.5,0.640388181,-0.140388181
0.744680851,0.682446625,0.062234226
0.734042553,0.694510931,0.039531622
0.510638298,0.650819392,-0.140181094
0.79787234,0.672693442,0.125178898
0.829787234,0.660019781,0.169767453
0.542553191,0.646023636,-0.103470444
0.670212766,0.579017369,0.091195397
0.606382979,0.576248244,0.030134735
0.446808511,0.615712573,-0.168904063
0.755319149,0.647744827,0.107574322
0.744680851,0.723484707,0.021196144
0.553191489,0.606510892,-0.053319403
0.691489362,0.738726824,-0.047237463
0.755319149,0.695063117,0.060256032
0.531914894,0.595883671,-0.063968777
0.585106383,0.672653052,-0.087546669
0.755319149,0.64268229,0.112636859
0.606382979,0.700545127,-0.094162148
0.776595745,0.587018769,0.189576975
0.659574468,0.661535898,-0.00196143
0.617021277,0.652428672,-0.035407396
0.712765957,0.667863491,0.044902467
0.659574468,0.589955367,0.069619101
0.553191489,0.595565004,-0.042373514
0.574468085,0.624989427,-0.050521342
0.680851064,0.691262297,-0.010411233
0.670212766,0.58792948,0.082283286
0.510638298,0.699091353,-0.188453055
0.819148936,0.689957393,0.129191543
0.64893617,0.631126693,0.017809477
0.64893617,0.665483988,-0.016547818
0.606382979,0.68803075,-0.081647771
0.829787234,0.618298896,0.211488338
0.744680851,0.638726388,0.105954463
0.79787234,0.690046325,0.107826016
0.765957447,0.6969914,0.068966047
0.734042553,0.636596014,0.097446539
0.659574468,0.676070304,-0.016495836
0.808510638,0.702796481,0.105714157
0.553191489,0.634154632,-0.080963143
0.691489362,0.681064532,0.01042483
0.70212766,0.60488007,0.09724759
0.478723404,0.688542786,-0.209819382
0.574468085,0.683373387,-0.108905302
0.680851064,0.716123756,-0.035272692
0.64893617,0.665720796,-0.016784626
0.765957447,0.643839476,0.122117971
0.659574468,0.637249582,0.022324886
0.744680851,0.702543615,0.042137236
0.531914894,0.632352493,-0.1004376
0.79787234,0.709187209,0.088685132
0.85106383,0.666366916,0.184696914
0.563829787,0.647306666,-0.083476879
0.521276596,0.619038154,-0.097761558
0.755319149,0.597305118,0.158014031
0.585106383,0.568868881,0.016237501
0.659574468,0.656923843,0.002650625
0.691489362,0.619771665,0.071717697
0.64893617,0.640492609,0.008443561
0.638297872,0.676630437,-0.038332565
0.617021277,0.670537393,-0.053516116
0.606382979,0.562040043,0.044342936
0.585106383,0.667771479,-0.082665096
0.787234043,0.686603255,0.100630788
0.5,0.61942452,-0.11942452
0.755319149,0.675390859,0.07992829
0.638297872,0.59908979,0.039208082
0.712765957,0.721436278,-0.00867032
0.489361702,0.67744019,-0.188078488
0.510638298,0.637287372,-0.126649074
0.712765957,0.652189353,0.060576604
0.521276596,0.668711271,-0.147434676
0.680851064,0.734692288,-0.053841224
0.457446809,0.615989486,-0.158542677
0.808510638,0.699458933,0.109051705
0.595744681,0.632655479,-0.036910799
0.585106383,0.593687067,-0.008580684
0.531914894,0.600861472,-0.068946579
0.542553191,0.685627021,-0.14307383
0.680851064,0.612074266,0.068776798
0.691489362,0.618642104,0.072847257
0.234042553,0.642822677,-0.408780124
0.659574468,0.668886144,-0.009311676
0.946808511,0.656435029,0.290373482
0.819148936,0.65419355,0.164955386
0.659574468,0.596817248,0.06275722
0.734042553,0.656357753,0.0776848
0.617021277,0.631425545,-0.014404268
0.691489362,0.601121044,0.090368318
0.617021277,0.618419539,-0.001398262
0.563829787,0.581495473,-0.017665686
0.872340426,0.608594927,0.263745498
0.872340426,0.729616157,0.142724268
0.595744681,0.629314989,-0.033570309
0.680851064,0.657549286,0.023301778
0.627659574,0.606328815,0.021330759
0.606382979,0.624713602,-0.018330624
0.723404255,0.642264345,0.08113991
0.627659574,0.673657954,-0.04599838
0.617021277,0.57965947,0.037361806
0.79787234,0.659393007,0.138479333
